,2019,2018,2017,2016,2015
cash and cash equivalents,11356000000.0,11946000000.0,7663000000.0,6510000000.0,5595000000.0
current portion of long-term debt,5516000000.0,3998000000.0,1049000000.0,0.0,2499000000.0
equity and other investments,,1862000000.0,6023000000.0,10431000000.0,12053000000.0
equity investments,2649000000.0,,,,
goodwill,42026000000.0,35683000000.0,35122000000.0,17872000000.0,16939000000.0
"intangible assets, net",7750000000.0,8053000000.0,10106000000.0,3733000000.0,4835000000.0
long-term debt,66662000000.0,72242000000.0,76073000000.0,40783000000.0,27808000000.0
net income,39240000000.0,16571000000.0,21204000000.0,16798000000.0,12193000000.0
operating income,42959000000.0,35058000000.0,22326000000.0,20182000000.0,18161000000.0
"other income (expense), net",,1416000000.0,823000000.0,-431000000.0,
"other income, net",729000000.0,,,,346000000.0
"property and equipment, net of accumulated depreciation of $17,606 and $14,793",,,,,14731000000.0
"property and equipment, net of accumulated depreciation of $19,800 and $17,606",,,,18356000000.0,
"property and equipment, net of accumulated depreciation of $24,179 and $19,800",,,23734000000.0,,
"property and equipment, net of accumulated depreciation of $29,223 and $24,179",,29460000000.0,,,
"property and equipment, net of accumulated depreciation of $35,330 and $29,223",36477000000.0,,,,
short-term debt,,0.0,9072000000.0,12904000000.0,4985000000.0
stockholders' equity:,,,,,
stockholders’ equity:,,,,,
total assets,286556000000.0,258848000000.0,241086000000.0,193694000000.0,176223000000.0
"total cash, cash equivalents, and short-term investments",133819000000.0,133768000000.0,132981000000.0,113240000000.0,96526000000.0
total current assets,175552000000.0,169662000000.0,159851000000.0,139660000000.0,124712000000.0
total current liabilities,69420000000.0,58488000000.0,64527000000.0,59357000000.0,49858000000.0
total liabilities,184226000000.0,176130000000.0,168692000000.0,121697000000.0,96140000000.0
total liabilities and stockholders' equity,286556000000.0,258848000000.0,241086000000.0,193694000000.0,176223000000.0
total stockholders' equity,,,72394000000.0,71997000000.0,80083000000.0
total stockholders’ equity,102330000000.0,82718000000.0,,,
